title,original_price,current_price
Doraemon Tranh truyện màu - Nobita Tây du ...,"30,000₫","27,000₫"
Doraemon Tranh truyện màu - Nobita Tây du ...,"30,000₫","27,000₫"
Doraemon truyện dài - Tập 15 - Đấng toàn n...,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 14 - Nobita và b...,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 23 - Nobita và n...,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 4 - Nobita và lâ...,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 22 - Nobita và v...,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 21 - Nobita và n...,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 17 - Nobita và c...,"22,000₫","19,800₫"
Doraemon - Nobita và những hiệp sĩ không g...,"30,000₫","27,000₫"
Doraemon - Nobita và người khổng lồ xanh,"30,000₫","27,000₫"
Doraemon - Nobita và cuộc đại thủy chiến ở...,"30,000₫","27,000₫"
Doraemon truyện dài - Tập 20 - Nobita và t...,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 19 - Nobita - Vũ...,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 16 - Nobita và c...,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 13 - Nobita và m...,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 38,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 36,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 33,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 20,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 11,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 8,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 3,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 2,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 11 - Nobita ở xứ...,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 10 - Nobita và h...,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 7,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 6,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 13,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 12,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 1,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 27,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 17,"22,000₫","19,800₫"
Doraemon truyện ngắn - Tập 15,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 9 - Nobita và nư...,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 8 - Nobita và hi...,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 7 - Nobita và bi...,"22,000₫","19,800₫"
